"";"Model1";"Model2";"Model3";"Model4";"Sum"
"PRS.7";0,181645267033186;0,181645267033186;0,21752118873403;0,21767447081929;0,798486193619691
"PRS.8";0,165776904788753;0,165776904788753;0,192140502043799;0,199916031688115;0,723610343309422
"PRS.1";0,164417368228879;0,164417368228879;0,171665015186106;0,18746017399954;0,687959925643405
"PRS.2";0,164807659644314;0,164807659644314;0,171097852793058;0,179968317422244;0,680681489503931
"PRS.3";0,163865141406815;0,163865141406815;0,173518499023066;0,17859841774711;0,679847199583808
"PRS.4";0,158143788446489;0,158143788446489;0,171573512283981;0,174195663078833;0,662056752255792
"PRS.5";0,157365446462383;0,157365446462383;0,170214488577742;0,171969281494955;0,656914662997463
"PRS.9";0,157772929903577;0,157772929903577;0,164136688108288;0,171760268905712;0,651442816821155
"PRS.6";0,154637253349705;0,154637253349705;0,167482409003349;0,168147589468721;0,644904505171479
"PRS.10";0,15466294476402;0,15466294476402;0,161818620392205;0,162091807789136;0,633236317709381
